BranchID,Employer,SalesForceID,TimesheetType,Date,Enrolled Hours-Total,Enrolled Hours-Hourly,HourlyEnrolledWorked,Enrolled Hours-Salaried,Enrolled Users-Total,UnEnrolled Hours,Total Hours(Enrolled + Unenrolled),UnenrolledUsers-Total,Employees in TA,Last TA File Process Date
1823,0001Template - New Employer,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1828,Community Systems Inc,0018W00001ZNyBl,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1829,0001Template - PayactivCard Only Employer,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1830,The Arc of San Diego,0011I00001ZKop6,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1832,School District of Greenville County,0018W00001ZNnhx,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1835,Fresh Ideas Food,0011I00001TVO4Q,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1840,Scarlet Pearl Casino,0018W00001ZOEfU,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1841,Health Dimensions Group,0018W00001ZNYvl,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1842,"Sagora Senior Living, Inc",0018W00001ZOBAh,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1845,Internal Drive,0011I00001TSORh,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1847,Waterton Residential LLC,0018W00001ZO32j,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1849,Midwest Industrial Supply Inc,0018W00001ZOFAe,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1850,Van Rooy Properties,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1852,UCAN Chicago,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1853,Starr Ranch,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1854,Olson Oil Co,0018W00001ZOFG8,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1857,Yanfeng Automotive Interiors,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1860,Turning Point of Central California,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1863,Kettering Health,0018W00001ZNbmM,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,44963.62431
1864,M Culinary Concepts,0018W00001ZOIBC,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1865,O'Neal Industries,0011I00001TVO5p,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1866,Jasper Group,0011I00001TUrU3,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1867,EUROPASTRY,0018W00001ZN8Yw,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1868,CSW Industrials Inc,0018W00001gIYga,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,44767.96944
1869,Puratos Corporation,0018W00001ZOSgq,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1870,Clutter,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1872,Mom's Meals,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1874,Quality Carriers,0018W00001gKp1v,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1875,PRIDGEON ,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1876,Renown Health,0011I00001Ns0uT,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45439.625
1877, Cove Property Management LP,0018W00001gL0CG,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1878,"Winebow, Inc.",0018W00001gKtHs,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1880,Evergreen Community of Johnson County,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1881,Heritage Community of Kalamazoo,0018W00001ZNnsr,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1882,InterMountain Management,0018W00001ZMxYM,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1883,PRIDGEON CLAY INC,0018W00001gInZD,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1884,Young Men’s Christian Association of the Suncoast,0018W00001gJRe4,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1885,President Container Group II,0018W00001ZNxVc,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1886,Universal Steel America,0018W00001gLo0k,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1887,Sartori Company,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1888,Mystic Lake Casino Hotel,0018W00001gInjI,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1890,"Rogers Enterprises, Inc.",0018W00001ZOXaj,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1891,Humanim,0018W00001ZOVTz,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1892,Providential BBA Operating LP,0011I00001ZKW3k,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1894,Eskaton Properties Inc.,0011I0000141RlR,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1895,Presbyterian SeniorCare ,0011I00001ZLvrk,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1897,The Harrison Steel Casting Co,0018W00001gKvcF,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1898,MyBasePay,0018W00001gKs4N,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1899,La Posada at Park Centre Inc.,0018W00001gLX7G,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1902,Community Living,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1903,WD Western Dental & Orthodontics,0018W00001gIjS2,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1905,SPIRE Hospitality,0011I00001TSOe0,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1906,Presbyterian Senior Living,0011I00001ZLQV7,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1926,Bell Techlogix Inc ,0011I00001TVSko,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1927,Hurricane Management LLC,0018W00001gM5Ou,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1928,Next Trucking,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1930,Allied Services Integrated Health,0018W00001gJSRi,Daily,1/1/2025 0:00,0,0,0,0,0,21144,21144,2643,2643,45707.36667
1932,"AbleHearts Communications, LLC",0018W00001gKuNk,Daily,1/1/2025 0:00,0,0,0,0,0,128.5,128.5,17,17,45707.46667
1933,Northern Contours Inc,0011I00001TU6fe,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1935,Urban Outfitters Inc,0011I000019Iu9A,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1936,FACE Amusement and Hospitality Group,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1937,Opportunity Enterprises,0018W00001gLPYG,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1938,Hankey Investment Company LP,0018W00001gIuNR,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1939,Lifespire of Virginia,0018W00001gM5E0,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1940,Woodloch Pines,0011I00001ZMThK,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1941,Concourse Hotel,0018W00001ZO4Ir,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1942,Concessions International ,0011I00001ZLvds,Daily,1/1/2025 0:00,0,0,0,0,0,563.86,563.86,76,76,45707.48681
1944,Moody,0018W00001sggOEQAY,Daily,1/1/2025 0:00,0,0,0,0,0,4894.73,4894.73,496,496,45706.92986
1945,Family YMCA of the Desert,0018W00001shK4b,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1946,PM Hotel Group,0018W00001sh4jC,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1947,Insomnia Cookies,0018W00001gM8PX,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1948,Good Foods,0011I00001TSHUQ,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1949,Associated Grocers,0018W00001gIeoZ,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1950,Forcht Group,0018W00001gKzh2,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1952,Lipari Foods,0011I00001TS9PB,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1953,Graceworks Lutheran Services,0018W00001gJ6pR,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1954,Pines of Sarasota,0018W00001gJV9G,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1955,Mud Bay,0018W00001ZNTYI,Daily,1/1/2025 0:00,0,0,0,0,0,279.77,279.77,33,33,45707.2375
1956,Imperial Distributors Inc,0011I00001NsjVz,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1957,98 Ventures,0018W00001gLesU,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1958,National Hospitality Services,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1959,0001Template - TipsEmployer,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1960,AF Holding Co,0018W00001ZNRhr,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1961,"EasterSeals - Michigan,INC",0018W00001gJSZS,Daily,1/1/2025 0:00,0,0,0,0,0,9821,9821,1228,1228,45707.44306
1962,Lake Trust Credit Union,0018W00001gJOLf,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1963,Mitsukoshi USA Orlando,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1964,Dufresne Spencer Group,0018W00001shAZl,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1965,Elim Christian Services,0018W00001gIjOo,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1966,ILPEA Industries,0018W00001gMOtRQAW,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45622.47986
1967,Thomas Cuisine Management,0018W00001gIuGj,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45247.63542
1968,True Value Company,0011I00001ZKof8,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1969,Aspire Indiana,0018W00001gIkxA,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1971,Cherry Hill Programs,0018W00001gL0Jb,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1972,Community Dental Partners,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1973,Tidewell Home Health D.B.A. Empath Personal Care,0018W00001ZOEgc,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,44953.55417
1974,Four Seasons Produce,0018W00001gLTv3,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45706.52083
1975,Safe Harbor Marinas,0011I00001ZLvi3,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1976,Eventide,0011I00001ZKoi4,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1977,R E Darling Co,0018W00001gIra8,Daily,1/1/2025 0:00,0,0,0,0,0,620,620,69,69,45693.61111
1978,Westminster Canterbury on Chesapeake Bay,0018W00001gLlY9,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1979,Carlex,0018W00001sh6xp,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1980,Affinity Gaming,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1981,Primrose Retirement Communities,0011I00001ZLvyf,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1982,Rodeo Dental,0018W00001shukN,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1983,Culp,0018W00001gIhcu,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1984,"Monroe Operations, LLC",0018W00001sgpXe,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1986,"Roeslein & Associates, Inc.",,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1987,Herdrich Petroleum Corp,0018W00001gIeyj,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1988,Windsor Medical Center,0018W00001siOXK,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1989,Lube-Tech,0011I00001TTE6Q,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
